locus,gene,P_gene,dist_to_tss,l2g_score,is_nearest
ADCY5,ADCY5,0.7459869384765625,102864,0.7459869384765625,1
ANKRD55,ANKRD55,0.5612800121307373,277583,0.5612800121307373,1
ARAP1_CENTD2,ARAP1,0.7578051090240479,71994,0.7578051090240479,0
CCND2,CCND2,0.7733690738677979,4548,0.7733690738677979,1
CDC123_CAMK1D,CAMK1D,0.5630057454109192,63502,0.5630057454109192,1
CDKAL1,CDKAL1,0.8300923109054565,126577,0.8300923109054565,1
CDKN2A_CDKN2B,CDKN2B,0.5609035491943359,124770,0.5609035491943359,1
CILP2_TM6SF2,MAU2,0.2852301597595215,23902,0.2852301597595215,0
DUSP8_HCCA2,KRTAP5-6,0.1582270264625549,21576,0.1582270264625549,1
FTO,FTO,0.9812718033790588,65350,0.9812718033790588,0
G6PC2,G6PC2,0.8278226852416992,5347,0.8278226852416992,1
HHEX_IDE,HHEX,0.5596750378608704,13232,0.5596750378608704,1
HMG20A,HMG20A,0.3194249868392944,120590,0.3194249868392944,0
HNF1B,HNF1B,0.7643893957138062,7046,0.7643893957138062,1
IGF2BP2,IGF2BP2,0.7690925002098083,31410,0.7690925002098083,1
JAZF1,JAZF1,0.8817803859710693,40093,0.8817803859710693,1
KCNJ11_ABCC8,KCNJ11,0.9474960565567015,2281,0.9474960565567015,1
KCNQ1,KCNQ1,0.6684967875480652,225587,0.6684967875480652,0
KLF14,KLF14,0.7068416476249695,47888,0.7068416476249695,1
MAEA,MAEA,0.6760526895523071,26274,0.6760526895523071,1
MTNR1B,MTNR1B,0.8532209992408752,5893,0.8532209992408752,1
NOTCH2,NOTCH2,0.5051175951957703,125443,0.5051175951957703,0
PRC1,PRC1,0.3696481883525848,17522,0.3696481883525848,1
PROX1,PROX1,0.8422001004219055,3202,0.8422001004219055,1
SLC30A8,SLC30A8,0.9343155026435852,222271,0.9343155026435852,1
TCF7L2,TCF7L2,0.853763997554779,48575,0.853763997554779,1
THADA,THADA,0.5938977599143982,90386,0.5938977599143982,1
TLE1,TLE4,0.5826851725578308,281098,0.5826851725578308,1
TP53INP1,TP53INP1,0.7869455814361572,1117,0.7869455814361572,1
WFS1,WFS1,0.0,31463,0.0,1
