locus,gene,tissue,n_common,PP3,PP4
IGF2BP2,IGF2BP2,Pancreas,17,0.0,0.0
IGF2BP2,IGF2BP2,Adipose_Subcutaneous,17,0.0,0.0
IGF2BP2,IGF2BP2,Liver,17,0.0,0.0
IGF2BP2,IGF2BP2,Muscle_Skeletal,17,0.0,0.0
IGF2BP2,IGF2BP2,Whole_Blood,17,0.0,0.0001
CDKAL1,CDKAL1,Pancreas,28,0.0,0.0
CDKAL1,CDKAL1,Adipose_Subcutaneous,28,0.0,0.0
CDKAL1,CDKAL1,Liver,28,0.0,0.0
CDKAL1,CDKAL1,Muscle_Skeletal,28,0.0,0.0
CDKAL1,CDKAL1,Whole_Blood,28,0.0,0.0
KLF14,KLF14,Pancreas,29,0.0,0.0
KLF14,KLF14,Adipose_Subcutaneous,29,0.0001,0.0038
KLF14,KLF14,Muscle_Skeletal,29,0.0,0.0008
KLF14,KLF14,Whole_Blood,29,0.0,0.0
THADA,THADA,Pancreas,29,0.0,0.0
THADA,THADA,Adipose_Subcutaneous,29,0.0001,0.0031
THADA,THADA,Liver,29,0.0,0.0
THADA,THADA,Muscle_Skeletal,29,0.0,0.0
THADA,THADA,Whole_Blood,29,0.0,0.0
JAZF1,JAZF1,Pancreas,5,0.0001,0.0197
JAZF1,JAZF1,Adipose_Subcutaneous,5,0.0001,0.019
JAZF1,JAZF1,Liver,5,0.0001,0.0162
JAZF1,JAZF1,Muscle_Skeletal,5,0.0001,0.018
JAZF1,JAZF1,Whole_Blood,5,0.0,0.0
TP53INP1,TP53INP1,Pancreas,30,0.0,0.0
TP53INP1,TP53INP1,Adipose_Subcutaneous,30,0.0,0.0
TP53INP1,TP53INP1,Liver,30,0.0,0.0003
TP53INP1,TP53INP1,Muscle_Skeletal,30,0.0,0.0
TP53INP1,TP53INP1,Whole_Blood,30,0.0001,0.0023
HHEX_IDE,HHEX,Pancreas,7,0.0,0.0
HHEX_IDE,HHEX,Adipose_Subcutaneous,7,0.0,0.0
HHEX_IDE,HHEX,Liver,7,0.0,0.0
HHEX_IDE,HHEX,Muscle_Skeletal,7,0.0,0.0
HHEX_IDE,HHEX,Whole_Blood,7,0.0,0.0
ARAP1_CENTD2,STARD10,Pancreas,11,0.0,0.0
ARAP1_CENTD2,STARD10,Adipose_Subcutaneous,11,0.0,0.0
ARAP1_CENTD2,STARD10,Liver,11,0.0,0.0
ARAP1_CENTD2,STARD10,Muscle_Skeletal,11,0.0,0.0006
ARAP1_CENTD2,STARD10,Whole_Blood,11,0.0,0.0001
HMG20A,HMG20A,Pancreas,28,0.0,0.0
HMG20A,HMG20A,Adipose_Subcutaneous,28,0.0,0.0017
HMG20A,HMG20A,Liver,28,0.0,0.0
HMG20A,HMG20A,Muscle_Skeletal,28,0.0001,0.0014
HMG20A,HMG20A,Whole_Blood,28,0.0,0.0
